filename,cc,loc,ncc,ic
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\package-info.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\PartitionReassignment.java,1,5,0,57.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ProducerState.java,1,15,0,117.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\QuorumInfo.java,1,13,0,281.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\RecordsToDelete.java,1,3,0,43.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\RemoveMembersFromConsumerGroupOptions.java,2,6,0,36.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\RemoveMembersFromConsumerGroupResult.java,1,5,0,244.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\RenewDelegationTokenOptions.java,1,4,0,11.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\RenewDelegationTokenResult.java,1,3,0,12.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ReplicaInfo.java,1,5,0,63.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ScramCredentialInfo.java,1,4,0,68.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ScramMechanism.java,3,8,0,77.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\SupportedVersionRange.java,4,11,0,84.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\TopicDescription.java,7,9,0,141.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\TopicListing.java,1,5,0,65.75
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\TransactionDescription.java,1,17,0,129.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\TransactionListing.java,1,9,0,69.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\TransactionState.java,1,3,0,27.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\UnregisterBrokerOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\UnregisterBrokerResult.java,1,3,0,12.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\UpdateFeaturesOptions.java,1,3,0,21.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\UpdateFeaturesResult.java,1,3,0,21.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\UserScramCredentialAlteration.java,1,3,0,18.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\UserScramCredentialDeletion.java,1,4,0,20.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\UserScramCredentialsDescription.java,5,7,0,68.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\UserScramCredentialUpsertion.java,1,3,0,78.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\AbortTransactionHandler.java,1,8,0,307.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\AdminApiDriver.java,1,14,0,900.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\AdminApiFuture.java,1,2,0,161.75
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\AdminApiHandler.java,1,7,0,283.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\AdminApiLookupStrategy.java,1,6,0,161.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\AdminMetadataManager.java,1,3,0,354.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\AllBrokersStrategy.java,1,2,0,326.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\AlterConsumerGroupOffsetsHandler.java,1,10,0,377.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\ApiRequestScope.java,1,3,0,16.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\CoordinatorKey.java,1,4,0,49.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\CoordinatorStrategy.java,1,1,0,346.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\DeleteConsumerGroupOffsetsHandler.java,1,10,0,279.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\DeleteConsumerGroupsHandler.java,1,6,0,203.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\DeleteRecordsHandler.java,1,9,0,323.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\DescribeConsumerGroupsHandler.java,1,8,0,404.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\DescribeProducersHandler.java,2,12,0,465.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\DescribeTransactionsHandler.java,1,6,0,341.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\FenceProducersHandler.java,1,6,0,252.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\ListConsumerGroupOffsetsHandler.java,1,10,0,359.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\ListOffsetsHandler.java,1,10,0,387.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\ListTransactionsHandler.java,1,8,0,172.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\PartitionLeaderStrategy.java,1,2,0,398.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\RemoveMembersFromConsumerGroupHandler.java,1,10,0,229.75
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\internals\StaticBrokerStrategy.java,1,3,0,40.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\CommitFailedException.java,1,3,0,29.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\Consumer.java,0,0,0,219.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\ConsumerConfig.java,1,6,0,2927.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\ConsumerGroupMetadata.java,1,9,0,109.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\ConsumerInterceptor.java,0,0,0,43.5
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\ConsumerPartitionAssignor.java,1,3,0,540.5
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\ConsumerRebalanceListener.java,1,3,0,95.25
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\ConsumerRecord.java,1,8,0,596.25
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\ConsumerRecords.java,1,3,0,168.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\CooperativeStickyAssignor.java,1,3,0,214.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\InvalidOffsetException.java,1,3,0,5.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\KafkaConsumer.java,1,3,0,3382.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\LogTruncationException.java,1,6,0,39.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\MockConsumer.java,1,14,0,833.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\NoOffsetForPartitionException.java,1,4,0,22.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\OffsetAndMetadata.java,3,10,0,131.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\OffsetAndTimestamp.java,1,3,0,81.25
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\OffsetCommitCallback.java,0,0,0,28.25
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\OffsetOutOfRangeException.java,1,4,0,27.5
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\OffsetResetStrategy.java,1,3,0,6.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\package-info.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\RangeAssignor.java,1,3,0,550.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\RetriableCommitFailedException.java,1,4,0,17.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\RoundRobinAssignor.java,4,18,0,108.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\StickyAssignor.java,1,3,0,172.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\AbstractCoordinator.java,2,3,0,4677.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\AbstractFetch.java,1,20,0,1936.25
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\AbstractPartitionAssignor.java,1,6,0,289.5
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\AbstractStickyAssignor.java,1,4,0,4511.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\AsyncClient.java,1,4,0,107.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\CommitRequestManager.java,2,23,0,1286.5
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\CompletedFetch.java,1,23,0,772.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\ConsumerCoordinator.java,1,7,0,4520.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\ConsumerInterceptors.java,1,3,0,119.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\ConsumerMetadata.java,1,13,0,155.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\ConsumerMetrics.java,1,3,0,27.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\ConsumerNetworkClient.java,1,15,0,1355.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\ConsumerProtocol.java,2,16,0,294.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\ConsumerUtils.java,1,27,0,373.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\CoordinatorRequestManager.java,1,14,0,309.25
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\DefaultBackgroundThread.java,1,30,0,588.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\DefaultEventHandler.java,1,20,0,297.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\ErrorEventHandler.java,1,3,0,9.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\Fetch.java,1,3,0,152.25
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\FetchConfig.java,1,21,0,172.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\Fetcher.java,1,10,0,152.5
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\FetchMetricsAggregator.java,1,4,0,89.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\FetchMetricsManager.java,1,28,0,356.5
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\FetchMetricsRegistry.java,1,3,0,326.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\GroupState.java,1,4,0,131.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\Heartbeat.java,2,13,0,139.25
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\KafkaConsumerMetrics.java,2,45,0,184.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\NetworkClientDelegate.java,1,12,0,454.25
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\NoAvailableBrokersException.java,0,0,0,1.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\NoopBackgroundEvent.java,1,4,0,12.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\NoOpConsumerRebalanceListener.java,1,1,0,4.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\OffsetFetcher.java,1,22,0,1204.5
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\OffsetFetcherUtils.java,1,13,0,967.5
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\OffsetsForLeaderEpochClient.java,1,3,0,340.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\PrototypeAsyncConsumer.java,1,5,0,893.25
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\RequestFuture.java,1,3,0,322.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\RequestFutureAdapter.java,1,3,0,5.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\RequestFutureListener.java,0,0,0,2.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\RequestManager.java,0,0,0,5.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\RequestState.java,1,8,0,148.5
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\SensorBuilder.java,1,3,0,100.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\SubscriptionState.java,1,9,0,2275.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\TopicMetadataFetcher.java,1,5,0,283.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\Utils.java,1,3,0,77.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\events\ApplicationEvent.java,1,3,0,20.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\events\ApplicationEventProcessor.java,1,7,0,230.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\events\AssignmentChangeApplicationEvent.java,1,5,0,10.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\events\BackgroundEvent.java,1,3,0,9.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\events\CommitApplicationEvent.java,2,9,0,60.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\events\ErrorBackgroundEvent.java,1,4,0,7.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\events\EventHandler.java,0,0,0,19.75
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\events\NewTopicsMetadataUpdateRequestEvent.java,1,3,0,4.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\events\NoopApplicationEvent.java,1,4,0,12.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\events\OffsetFetchApplicationEvent.java,1,5,0,32.0
./kafka\clients\src\main\java\org\apache\kafka\clients\consumer\internals\events\PollApplicationEvent.java,1,4,0,7.0
./kafka\clients\src\main\java\org\apache\kafka\clients\producer\BufferExhaustedException.java,1,3,0,5.0
./kafka\clients\src\main\java\org\apache\kafka\clients\producer\Callback.java,0,0,0,40.75
./kafka\clients\src\main\java\org\apache\kafka\clients\producer\KafkaProducer.java,1,3,0,2708.25
./kafka\clients\src\main\java\org\apache\kafka\clients\producer\MockProducer.java,1,18,0,893.75
./kafka\clients\src\main\java\org\apache\kafka\clients\producer\package-info.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\producer\Partitioner.java,1,2,0,34.25
./kafka\clients\src\main\java\org\apache\kafka\clients\producer\Producer.java,0,0,0,76.5
